Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
wheat,23.56,54,42.0,46.0,rabi,60,30,30,6.3,167.38,1.095238095
coriander,26.73636364,54,910.0,450.0,whole year,10,20,20,6.32,1426.3,0.494505495
garlic,26.73636364,54,480.0,1530.0,whole year,50,10,60,5.32,1426.3,3.1875
horsegram,28.5,54,244.0,72.7,kharif,20,60,20,5.92,1145.22,0.29795082
maize,28.5,54,3.0,3.6,kharif,80,40,20,5.6,1145.22,1.2
moong,28.5,54,233.0,87.5,kharif,20,40,20,5.48,1145.22,0.375536481
ragi,28.5,54,2.0,0.5,kharif,50,40,20,5.62,1145.22,0.25
sesamum,28.5,54,693.0,215.5,kharif,30,15,30,6.64,1145.22,0.310966811
rapeseed,23.56,54,282.0,94.2,rabi,50,40,20,4.88,167.38,0.334042553
sunflower,23.56,54,120.0,60.0,rabi,50,60,30,5.34,167.38,0.5
wheat,23.56,54,416.0,581.6,rabi,60,30,30,6.3,167.38,1.398076923
coriander,26.73636364,54,70.0,30.0,whole year,10,20,20,6.42,1426.3,0.428571429
garlic,26.73636364,54,130.0,420.0,whole year,50,10,60,5.44,1426.3,3.230769231
horsegram,28.5,54,7316.0,2172.9,kharif,20,60,20,5.88,1145.22,0.297006561
jowar,28.5,54,680.0,620.0,kharif,80,40,40,5.4,1145.22,0.911764706
maize,28.5,54,1679.0,967.6,kharif,80,40,20,5.44,1145.22,0.576295414
moong,28.5,54,4011.0,868.8,kharif,20,40,20,5.34,1145.22,0.216604338
ragi,28.5,54,2519.0,1027.1,kharif,50,40,20,5.34,1145.22,0.407741167
sesamum,28.5,54,2421.0,343.3,kharif,30,15,30,6.58,1145.22,0.141800909
rapeseed,23.56,54,1090.0,151.5,rabi,50,40,20,5.0,167.38,0.138990826
sunflower,23.56,54,1050.0,1350.0,rabi,50,60,30,5.62,167.38,1.285714286
wheat,23.56,54,43.0,29.9,rabi,60,30,30,6.3,167.38,0.695348837
coriander,26.73636364,54,980.0,480.0,whole year,10,20,20,6.46,1426.3,0.489795918
garlic,26.73636364,54,490.0,1550.0,whole year,50,10,60,5.34,1426.3,3.163265306
horsegram,28.5,54,1486.0,430.9,kharif,20,60,20,5.92,1145.22,0.289973082
jowar,28.5,54,530.0,220.0,kharif,80,40,40,5.32,1145.22,0.41509434
maize,28.5,54,2832.0,1218.2,kharif,80,40,20,5.62,1145.22,0.430155367
moong,28.5,54,165.0,27.8,kharif,20,40,20,5.6,1145.22,0.168484848
ragi,28.5,54,181.0,70.2,kharif,50,40,20,5.46,1145.22,0.387845304
sesamum,28.5,54,373.0,86.2,kharif,30,15,30,6.52,1145.22,0.231099196
sunflower,28.5,54,30.0,20.0,kharif,50,60,30,5.58,1145.22,0.666666667
rapeseed,23.56,54,3042.0,480.6,rabi,50,40,20,5.14,167.38,0.157988166
wheat,23.56,54,5.0,5.0,rabi,60,30,30,6.3,167.38,1.0
garlic,26.73636364,54,80.0,260.0,whole year,50,10,60,5.48,1426.3,3.25
